utc,gsthour,freq,stokesid,ifid,chid,ch,u1,v1,w1,uvdist1,u2,v2,w2,uvdist2,u3,v3,w3,uvdist3,u4,v4,w4,uvdist4,uvdistmin,uvdistmax,uvdistave,st1,st2,st3,st4,st1name,st2name,st3name,st4name,amp,sigma,logamp,logsigma
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,61051907.99992103,222913823.9997117,-244561135.99968368,231123145.5319983,435085471.9994372,129724903.9998322,252936911.9996729,454013126.0907979,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,47511363.99993854,-21198973.99997258,93223399.99987942,52026206.93252747,52026206.93252747,454013126.0907979,267895159.74052164,1,2,3,4,BR,FD,HN,KP,0.4437839673027099,0.30384162628209627,-0.8124173950877337,0.7628152141267919
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,47511363.99993854,-21198973.99997258,93223399.99987942,52026206.93252747,108565327.99985956,201715375.99973908,-151338495.99980426,229075366.11000583,-387539583.99949867,-150923311.9998048,-159730575.99979338,415890340.44023544,52026206.93252747,415890340.44023544,257852518.4723829,1,3,4,2,BR,HN,KP,FD,0.9086870892412456,0.7321308949156676,-0.09575448032581518,0.7230659827965463
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,61051907.99992103,222913823.9997117,-244561135.99968368,231123145.5319983,368938015.9995228,80776607.99989551,208361055.9997305,377677269.7021002,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,-18620257.99997592,-70146391.99990927,48623627.9999371,72575686.82823884,72575686.82823884,377677269.7021002,253948565.6172751,1,2,3,5,BR,FD,HN,LA,1.0088303062466082,0.6882637636899477,0.008791547095405625,0.7601170380746003
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,-18620257.99997592,-70146391.99990927,48623627.9999371,72575686.82823884,42432059.99994511,152767647.99980238,-195937215.99974656,158551045.38044038,-387539583.99949867,-150923311.9998048,-159730575.99979338,415890340.44023544,72575686.82823884,415890340.44023544,245358808.2639194,1,3,5,2,BR,HN,LA,FD,0.5981388028665732,0.5008162757934259,-0.5139324401482733,0.751441638776055
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,61051907.99992103,222913823.9997117,-244561135.99968368,231123145.5319983,203393199.9997369,9904577.999987187,109295327.99985863,203634217.3395493,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,-184130015.99976185,-141016495.9998176,-50501667.99993467,231925666.83344716,203634217.3395493,334418160.40676296,250275297.52793944,1,2,3,7,BR,FD,HN,NL,2.1051828123821257,1.433839640913077,0.7444023101007372,0.7588473994603756
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,-184130015.99976185,-141016495.9998176,-50501667.99993467,231925666.83344716,-123080703.9998408,81897303.99989407,-295059903.99961835,147837843.9356699,-387539583.99949867,-150923311.9998048,-159730575.99979338,415890340.44023544,147837843.9356699,415890340.44023544,282518002.90402883,1,3,7,2,BR,HN,NL,FD,0.1701460725181685,0.13419976099411693,-1.7710979607690467,0.7078371749424381
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,61051907.99992103,222913823.9997117,-244561135.99968368,231123145.5319983,429971647.99944377,57319663.99992586,350101823.9995472,433775474.1388936,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,42360099.99994521,-93604407.99987891,190388079.9997537,102743190.86447117,102743190.86447117,433775474.1388936,275514992.7355315,1,2,3,8,BR,FD,HN,OV,0.6736559666784583,0.4591130021039265,-0.3950357335813872,0.7593204809789116
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,42360099.99994521,-93604407.99987891,190388079.9997537,102743190.86447117,103418967.99986622,129309495.99983272,-54166931.99992994,165579070.8329048,-387539583.99949867,-150923311.9998048,-159730575.99979338,415890340.44023544,102743190.86447117,415890340.44023544,254657690.63609362,1,3,8,2,BR,HN,OV,FD,1.0089230758179057,0.8185877369551005,0.00888350042546808,0.7281330369304879
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,61051907.99992103,222913823.9997117,-244561135.99968368,231123145.5319983,393726911.99949074,99492511.99987131,222053471.9997128,406102993.3116712,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,6163797.499992028,-51431007.99993347,62325387.99991938,51799044.23355829,51799044.23355829,406102993.3116712,255860835.8709977,1,2,3,9,BR,FD,HN,PT,0.6607447809132123,0.4511304711834903,-0.41438762426035636,0.7606977004675064
2016-12-24 09:38:44.998856,15.868862391305509,43007500000.0,1,0,0,0,-326577343.99957764,71991279.99990688,-404312255.99947697,334418160.40676296,6163797.499992028,-51431007.99993347,62325387.99991938,51799044.23355829,67216551.99991307,171483135.99977818,-182236047.9997643,184186130.8434363,-387539583.99949867,-150923311.9998048,-159730575.99979338,415890340.44023544,51799044.23355829,415890340.44023544,246573418.98099822,1,3,9,2,BR,HN,PT,FD,1.8360011027634813,1.50699164766913,0.6075898928318227,0.7366169244787618
