,baseline,Ndata,chisq,rchisq_bl,rchisq_total
0,total,1913,12022.824168748974,131.2842939392126,6.284800924594342
1,BR-FD,52,151.82590638206503,1.459864484442933,0.07936534573030059
2,BR-HN,38,80.52447972306994,1.059532627935131,0.042093298339294274
3,BR-KP,38,128.28480874052082,1.687958009743695,0.06705949228464235
4,BR-LA,49,155.32603384593872,1.584959529040191,0.08119499939672699
5,BR-NL,48,87.78906214557887,0.9144693973497798,0.04589078000291629
6,BR-OV,50,207.27395802179626,2.0727395802179625,0.10835021328896825
7,BR-PT,50,221.3726146576549,2.213726146576549,0.11572013311952688
8,BR-SC,35,47.09366765179724,0.6727666807399606,0.024617703947620095
9,FD-HN,45,176.4423767548985,1.9604708528322057,0.0922333386068471
10,FD-KP,40,483.2773071666833,6.040966339583541,0.25262797029100015
11,FD-LA,57,834.92151971494,7.323872979955614,0.4364461681729953
12,FD-NL,55,128.22328896584236,1.1656662633258397,0.06702733348972419
13,FD-OV,59,587.3163194340782,4.977256944356595,0.3070132354595286
14,FD-PT,59,998.3637592744216,8.460709824359505,0.5218838260713129
15,FD-SC,41,170.34636499550564,2.077394695067142,0.089046714582073
16,HN-KP,32,78.8116624630696,1.2314322259854624,0.041197941695279454
17,HN-LA,44,212.44071738183473,2.414099061157213,0.11105108070142955
18,HN-NL,44,374.9324229176298,4.260595714973066,0.19599185724915308
19,HN-OV,45,200.62987264793472,2.2292208071992747,0.10487708972709604
20,HN-PT,45,185.2944483967032,2.0588272044078133,0.0968606630406185
21,HN-SC,36,104.45613450038766,1.4507796458387174,0.054603311291368355
22,KP-LA,39,381.29069767079335,4.8883422778306835,0.19931557640919673
23,KP-NL,37,102.89648756920693,1.390493075259553,0.05378802277533033
24,KP-OV,38,286.868371944365,3.7745838413732233,0.14995732981932305
25,KP-PT,40,672.3345023610246,8.404181279512809,0.3514555684061812
26,KP-SC,30,57.745275663498795,0.9624212610583133,0.03018571649947663
27,LA-NL,53,234.00227475879677,2.2075686297999697,0.1223221509455289
28,LA-OV,56,642.430745468449,5.735988798825438,0.3358237038517768
29,LA-PT,56,1148.6077265895597,10.255426130263926,0.6004222303134134
30,LA-SC,39,240.17177190499584,3.07912528083328,0.1255471886591719
31,NL-OV,53,210.29220006100985,1.9838886798208477,0.10992796657658643
32,NL-PT,55,236.59051209865927,2.150822837260539,0.12367512394075236
33,NL-SC,39,136.14155439596877,1.7454045435380612,0.07116652085518493
34,OV-PT,58,643.8406024356115,5.5503500209966505,0.33656069128887167
35,OV-SC,40,107.11981526597664,1.338997690824708,0.055995721519067766
36,PT-SC,41,113.76231544499183,1.3873453103047784,0.0594680164375284
37,BR-MK,26,40.10174042995929,0.7711873159607556,0.02096274983270219
38,FD-MK,34,177.27340526631193,2.606961842151646,0.0926677497471573
39,HN-MK,32,72.8057738637387,1.137590216620917,0.03805842857487647
40,LA-MK,35,128.15756093019104,1.8308222990027292,0.06699297487202877
41,MK-NL,32,78.78439666015139,1.2310061978148654,0.041183688792551694
42,MK-OV,35,226.4723696657663,3.2353195666538044,0.1183859747338036
43,MK-PT,35,247.07961336013096,3.5297087622875853,0.12915818785161054
44,MK-SC,26,86.13780661054051,1.6564962809719328,0.04502760408287533
45,KP-MK,22,136.96992254692532,3.1129527851573937,0.0715995413209228
