,baseline,Ndata,chisq,rchisq_bl,rchisq_total
0,total,1468,2906.841066199988,247.26040996492944,1.9801369660762862
1,BR-FD-HN,38,59.80958946408022,1.5739365648442163,0.040742227155367995
2,BR-FD-KP,38,55.448058092725056,1.4591594234927647,0.03777115673891353
3,BR-FD-LA,49,55.670296549949214,1.1361285010193718,0.03792254533375287
4,BR-FD-NL,48,61.6542479981449,1.2844634999613522,0.04199880653824585
5,BR-FD-OV,50,82.1634669723672,1.643269339447344,0.055969664150113896
6,BR-FD-PT,50,60.61046007494045,1.212209201498809,0.041287779342602485
7,BR-FD-SC,35,37.82081677663803,1.0805947650468009,0.02576349916664716
8,BR-HN-KP,31,46.507596337416,1.5002450431424514,0.03168092393556948
9,BR-HN-LA,37,58.95255425885446,1.5933122772663368,0.040158415707666525
10,BR-HN-NL,38,35.31447747051876,0.9293283544873358,0.024056183563023678
11,BR-HN-OV,38,54.692775666029064,1.4392835701586595,0.03725665917304432
12,BR-HN-PT,38,57.28075516218097,1.5073882937416043,0.0390195879851369
13,BR-HN-SC,31,34.53129590236919,1.1139127710441674,0.023522681132404077
14,BR-KP-LA,37,85.68876694770353,2.3159126202082034,0.0583710946510242
15,BR-KP-NL,37,48.6396133101657,1.314584143517992,0.033133251573682354
16,BR-KP-OV,36,55.38395248677236,1.5384431246325656,0.03772748807000842
17,BR-KP-PT,38,147.46140204114883,3.88056321160918,0.10045054634955643
18,BR-KP-SC,29,33.57338459767671,1.1577029171612658,0.022870152995692578
19,BR-LA-NL,47,87.99820522522239,1.872302238834519,0.05994428148857111
20,BR-LA-OV,47,75.7791707851455,1.61232278266267,0.05162068854573944
21,BR-LA-PT,47,229.25198226586843,4.877701750337626,0.15616620045358884
22,BR-LA-SC,33,85.53835553380394,2.5920713798122406,0.058268634559811947
23,BR-NL-OV,46,65.15180526091022,1.416343592628483,0.04438133873359007
24,BR-NL-PT,48,60.4872367159267,1.2601507649151396,0.04120383972474571
25,BR-NL-SC,34,44.94905918445163,1.3220311524838715,0.030619250125648246
26,BR-OV-PT,48,67.52103267510627,1.4066881807313807,0.045995253865876204
27,BR-OV-SC,34,39.20231353460136,1.1530092216059222,0.02670457325245324
28,BR-PT-SC,35,23.27846103269794,0.6650988866485126,0.015857262283854184
29,BR-FD-MK,26,21.706304040898274,0.8348578477268567,0.014786310654562857
30,BR-HN-MK,25,32.610597695249936,1.3044239078099975,0.022214303607118485
31,BR-LA-MK,26,36.977679438513576,1.42221843994283,0.02518915493086756
32,BR-MK-NL,26,20.835709480546555,0.8013734415594829,0.014193262588928172
33,BR-MK-OV,26,28.470245458075798,1.095009440695223,0.019393900175800952
34,BR-MK-PT,26,14.877468423923126,0.5722103239970433,0.010134515275151993
35,BR-MK-SC,20,19.350785532630923,0.9675392766315462,0.013181734014053762
36,BR-KP-MK,20,26.609804832716698,1.3304902416358348,0.018126570049534534
37,FD-HN-KP,1,0.0011212685950030535,0.0011212685950030535,7.638069448249683e-07
38,FD-HN-LA,7,15.953891558972567,2.2791273655675095,0.010867773541534446
39,FD-HN-MK,7,25.423230772971362,3.63189011042448,0.017318277093304742
40,FD-HN-OV,7,14.152492853519684,2.021784693359955,0.009640662706757277
41,FD-HN-PT,7,44.9193840808566,6.417054868693801,0.030599035477422754
42,FD-KP-LA,2,9.972886584877116,4.986443292438558,0.0067935194719871365
43,FD-KP-MK,2,4.890981797319264,2.445490898659632,0.0033317314695635314
44,FD-KP-OV,2,13.43977949453399,6.719889747266995,0.009155163143415525
45,FD-KP-PT,2,0.16230062214750574,0.08115031107375287,0.00011055900691246985
46,FD-LA-MK,8,6.965996585236585,0.8707495731545731,0.004745229281496312
47,FD-LA-OV,8,19.107986632246703,2.388498329030838,0.013016339667742986
48,FD-LA-PT,8,209.5095427656901,26.188692845711262,0.1427176721837126
49,FD-MK-OV,8,11.910122708994464,1.488765338624308,0.008113162608306856
50,FD-MK-PT,8,15.261037873055573,1.9076297341319466,0.01039580236584167
51,FD-OV-PT,9,46.095233380502606,5.121692597833623,0.031400022738761996
52,FD-HN-NL,6,3.847140478643867,0.6411900797739779,0.002620667900983561
53,FD-HN-SC,5,7.781775203058199,1.5563550406116398,0.005300936786824386
54,FD-LA-NL,6,12.772442104397058,2.128740350732843,0.008700573640597451
55,FD-LA-SC,6,76.82743132044608,12.804571886741014,0.0523347624798679
56,FD-MK-NL,6,5.66858947402647,0.9447649123377451,0.0038614369714076776
57,FD-MK-SC,6,46.0675409874704,7.677923497911734,0.0313811587108109
58,FD-NL-OV,7,4.9129271219272,0.7018467317038857,0.0033466806007678472
59,FD-NL-PT,7,19.50799156477666,2.786855937825237,0.013288822591809715
60,FD-NL-SC,5,2.934062647343091,0.5868125294686182,0.0019986802774816697
61,FD-OV-SC,6,76.95789642891981,12.826316071486636,0.0524236351695639
62,FD-PT-SC,6,91.35453744559197,15.225756240931995,0.06223061133895911
63,FD-KP-SC,1,6.527756627160222,6.527756627160222,0.004446700699700423
64,LA-MK-OV,1,1.004523898829805,1.004523898829805,0.0006842805850339271
65,LA-MK-PT,1,10.259753356766613,10.259753356766613,0.006988932804336929
66,LA-OV-PT,1,50.85098133514159,50.85098133514159,0.034639633062085555
